sentence,label,Article_ID,Sentence_Index,Total_Sentences,Role,Specificity_Score,Conditional_Future,Privacy_Security,Public_Impact
പ്രാദേശിക സംഘടനകളുമായി ചർച്ച നടത്തിയ ശേഷം അന്തിമ പട്ടിക തയ്യാറാക്കും.,0,ART_0000,11,13,GENERAL_DETAIL,0,0,0,0
വിദ്യാഭ്യാസ വകുപ്പ് ഉദ്യോഗസ്ഥർ സ്ഥലത്തെത്തി പ്രാഥമിക പരിശോധന നടത്തി.,0,ART_0000,12,13,GENERAL_DETAIL,0,0,0,0
തൃശൂർ: നഗരത്തിലെ ഗതാഗതക്കുരുക്ക് കുറയ്ക്കുന്നതിനായി പുതിയ ഇലക്ട്രിക് ബസ് സർവീസുകൾ ആരംഭിച്ചു.,1,ART_0001,0,15,EVENT,0,0,0,0
പദ്ധതിയുടെ ഭാഗമായി പഴയ ഡീസൽ ബസുകൾ ഘട്ടംഘട്ടമായി പിൻവലിക്കും.,1,ART_0001,1,15,OFFICIAL_RESPONSE,0,0,0,0
രാവിലെയും വൈകിട്ടും തിരക്കേറിയ സമയങ്ങളിൽ അധിക സർവീസുകൾ നടത്തുമെന്ന് ഗതാഗത വകുപ്പ് അറിയിച്ചു.,1,ART_0001,2,15,PUBLIC_IMPACT,0,0,0,0
ഡ്രൈവർമാർക്കും കണ്ടക്ടർമാർക്കും പ്രത്യേക പരിശീലനം നൽകിയതായി ഉദ്യോഗസ്ഥർ അറിയിച്ചു.,0,ART_0001,3,15,IMPLEMENTATION_DETAIL,0,0,0,0
"പുതിയ ബസുകളിൽ ജിപിഎസ് സംവിധാനം, സിസിടിവി ക്യാമറ, ഡിജിറ്റൽ ടിക്കറ്റ് സൗകര്യം എന്നിവ ഒരുക്കിയിട്ടുണ്ട്.",0,ART_0001,4,15,GENERAL_DETAIL,1,0,0,0
ബസ് സ്റ്റോപ്പുകളിൽ സമയക്രമം പ്രദർശിപ്പിക്കുന്ന ഡിജിറ്റൽ ബോർഡുകളും സ്ഥാപിക്കും.,0,ART_0001,5,15,GENERAL_DETAIL,0,0,0,0
ജനങ്ങളുടെ പ്രതികരണം പരിശോധിച്ച ശേഷം കൂടുതൽ മാറ്റങ്ങൾ വരുത്തുമെന്ന് അധികൃതർ അറിയിച്ചു.,0,ART_0001,6,15,GENERAL_DETAIL,0,0,0,0
ഇന്ധനച്ചെലവ് കുറയ്ക്കാനും വായു മലിനീകരണം നിയന്ത്രിക്കാനും പദ്ധതി സഹായകരമാകുമെന്ന് വിദ്യാഭ്യാസ വകുപ്പ് വ്യക്തമാക്കി.,1,ART_0001,7,15,PURPOSE_GOAL,0,0,0,0
ആദ്യഘട്ടത്തിൽ പ്രധാനപ്പെട്ട 50 റൂട്ടുകളിലാണ് ബസുകൾ ഓടിത്തുടങ്ങിയത്.,1,ART_0001,8,15,SCALE,4,0,0,0
വിദ്യാർത്ഥികൾക്കും സ്ഥിരം യാത്രക്കാർക്കും ഇളവുകൾ നൽകുന്നതിനെക്കുറിച്ച് അധികൃതർ ആലോചിക്കുന്നു.,0,ART_0001,9,15,POSSIBLE_FUTURE,0,1,0,0
നിലവിലെ സംവിധാനവുമായി പുതിയ സംവിധാനം ബന്ധിപ്പിക്കുന്നതിനുള്ള നടപടികൾ പുരോഗമിക്കുകയാണ്.,0,ART_0001,10,15,GENERAL_DETAIL,0,0,0,0
പൊലീസ് ഉദ്യോഗസ്ഥർ സ്ഥലത്തെത്തി പ്രാഥമിക പരിശോധന നടത്തി.,0,ART_0001,11,15,GENERAL_DETAIL,0,0,0,0
പ്രാദേശിക സംഘടനകളുമായി ചർച്ച നടത്തിയ ശേഷം അന്തിമ പട്ടിക തയ്യാറാക്കും.,0,ART_0001,12,15,GENERAL_DETAIL,0,0,0,0
പദ്ധതി വിജയകരമായാൽ സമീപ നഗരങ്ങളിലേക്കും സമാന സർവീസുകൾ ആരംഭിക്കാനാണ് തീരുമാനം.,0,ART_0001,13,15,POSSIBLE_FUTURE,0,1,0,0
ആദ്യ ദിവസത്തെ സർവീസുകളിൽ യാത്രക്കാരുടെ പങ്കാളിത്തം തൃപ്തികരമായിരുന്നുവെന്ന് അധികൃതർ വ്യക്തമാക്കി.,0,ART_0001,14,15,GENERAL_DETAIL,0,0,0,1
മലപ്പുറം: കനത്ത മഴയിൽ കൃഷിനാശം സംഭവിച്ച കർഷകർക്കായി പ്രത്യേക ഇൻഷുറൻസ് സഹായ പദ്ധതി പ്രഖ്യാപിച്ചു.,1,ART_0002,0,14,EVENT,0,0,0,0
"ആദ്യഘട്ടത്തിൽ ചാലക്കുടി, ഇരിങ്ങാലക്കുട, കൊടുങ്ങല്ലൂർ പ്രദേശങ്ങളിലെ 10 കർഷകരുടെ അപേക്ഷകൾ പരിഗണിക്കും.",1,ART_0002,1,14,SCALE,3,0,0,1
നാശനഷ്ടം സംഭവിച്ച കർഷകർ അടുത്ത 10 ദിവസത്തിനകം ഓൺലൈൻ വഴി അപേക്ഷ സമർപ്പിക്കണം.,1,ART_0002,2,14,PUBLIC_IMPACT,2,0,0,1
നിലവിലെ സംവിധാനവുമായി പുതിയ സംവിധാനം ബന്ധിപ്പിക്കുന്നതിനുള്ള നടപടികൾ പുരോഗമിക്കുകയാണ്.,0,ART_0002,3,14,GENERAL_DETAIL,0,0,0,0
വ്യാജ അപേക്ഷകൾ കണ്ടെത്തിയാൽ നിയമനടപടി സ്വീകരിക്കും.,0,ART_0002,4,14,PUBLIC_IMPACT,0,0,0,1
പ്രാദേശിക സംഘടനകളുമായി ചർച്ച നടത്തിയ ശേഷം അന്തിമ പട്ടിക തയ്യാറാക്കും.,0,ART_0002,5,14,GENERAL_DETAIL,0,0,0,0
മോട്ടോർ വാഹന വകുപ്പ് ഉദ്യോഗസ്ഥർ സ്ഥലത്തെത്തി പ്രാഥമിക പരിശോധന നടത്തി.,0,ART_0002,6,14,GENERAL_DETAIL,0,0,0,0
സഹായത്തിനായി 8 കോടി രൂപയുടെ പ്രത്യേക ഫണ്ട് അനുവദിച്ചതായി കൃഷി വകുപ്പ് അറിയിച്ചു.,1,ART_0002,7,14,BUDGET,3,0,0,0
വിളനാശം മൂലമുള്ള സാമ്പത്തിക പ്രതിസന്ധി കുറയ്ക്കുകയും കർഷകർക്ക് വേഗത്തിൽ സഹായം ലഭ്യമാക്കുകയുമാണ് ലക്ഷ്യം.,1,ART_0002,8,14,PURPOSE_GOAL,0,0,0,1
അപേക്ഷയിൽ ഭൂവിവരവും ബാങ്ക് അക്കൗണ്ട് വിവരങ്ങളും ഉൾപ്പെടുത്തണം.,0,ART_0002,9,14,PUBLIC_IMPACT,0,0,0,1
പരിശോധന പൂർത്തിയാക്കിയ ശേഷം തുക നേരിട്ട് കർഷകരുടെ അക്കൗണ്ടിലേക്ക് നൽകും.,0,ART_0002,10,14,GENERAL_DETAIL,0,0,0,0
പദ്ധതി വിജയകരമായാൽ മറ്റു ജില്ലകളിലേക്കും വ്യാപിപ്പിക്കാനാണ് തീരുമാനം.,0,ART_0002,11,14,POSSIBLE_FUTURE,1,1,0,0
വില്ലേജ് ഓഫീസർമാരും കൃഷി ഓഫീസർമാരും ചേർന്ന് നാശനഷ്ടം വിലയിരുത്തും.,0,ART_0002,12,14,GENERAL_DETAIL,0,0,0,0
കർഷക സംഘടനകൾ സഹായം വേഗത്തിൽ വിതരണം ചെയ്യണമെന്ന് ആവശ്യപ്പെട്ടു.,0,ART_0002,13,14,REACTION_BACKGROUND,0,0,0,1
വയനാട്: സ്കൂൾ പരിസരങ്ങളിലെ റോഡ് സുരക്ഷ മെച്ചപ്പെടുത്താൻ പുതിയ സുരക്ഷാ പദ്ധതി ആരംഭിച്ചു.,1,ART_0003,0,13,EVENT,0,0,0,0
സ്കൂൾ ബസുകൾക്ക് വേഗപരിധി നിർബന്ധമാക്കുകയും ഡ്രൈവർമാർക്ക് പ്രത്യേക പരിശീലനം നൽകുകയും ചെയ്യും.,1,ART_0003,1,13,PUBLIC_IMPACT,0,0,0,0
പദ്ധതിക്കായി 25 കോടി രൂപ വകയിരുത്തിയതായി വിദ്യാഭ്യാസ വകുപ്പ് അറിയിച്ചു.,1,ART_0003,2,13,BUDGET,3,0,0,0
നിലവിലുള്ള പാർക്കിംഗ് പ്രശ്നങ്ങൾ പരിഹരിക്കാൻ പ്രത്യേക യോഗം ചേരും.,0,ART_0003,3,13,GENERAL_DETAIL,0,0,0,0
പൊതുജനങ്ങളിൽ ബോധവൽക്കരണ പരിപാടികൾ നടത്തും.,0,ART_0003,4,13,GENERAL_DETAIL,0,0,0,1
നിലവിലെ സംവിധാനവുമായി പുതിയ സംവിധാനം ബന്ധിപ്പിക്കുന്നതിനുള്ള നടപടികൾ പുരോഗമിക്കുകയാണ്.,0,ART_0003,5,13,GENERAL_DETAIL,0,0,0,0
രക്ഷിതാക്കൾ കുട്ടികളെ റോഡിന്റെ നടുവിൽ ഇറക്കിവിടരുതെന്ന് നിർദേശം നൽകി.,0,ART_0003,6,13,PUBLIC_IMPACT,0,0,0,1
വിദ്യാർത്ഥികളുടെ സുരക്ഷ ഉറപ്പാക്കുകയും സ്കൂൾ സമയത്തെ ഗതാഗത അപകടങ്ങൾ കുറയ്ക്കുകയും ചെയ്യുകയാണ് പദ്ധതിയുടെ പ്രധാന ലക്ഷ്യം.,1,ART_0003,7,13,PURPOSE_GOAL,0,0,0,0
"ആദ്യഘട്ടത്തിൽ മഞ്ചേരി, തിരൂർ, പൊന്നാനി മേഖലകളിലെ 60 സ്കൂളുകളിലാണ് പദ്ധതി നടപ്പാക്കുക.",1,ART_0003,8,13,SCALE,3,0,0,0
രാവിലെക്കും വൈകിട്ടും പൊലീസ് നിരീക്ഷണം ശക്തമാക്കുമെന്ന് അധികൃതർ പറഞ്ഞു.,0,ART_0003,9,13,GENERAL_DETAIL,0,0,0,0
സ്കൂൾ പ്രവേശന കവാടങ്ങളിൽ സീബ്രാ ക്രോസിങ്ങും മുന്നറിയിപ്പ് ബോർഡുകളും സ്ഥാപിക്കും.,0,ART_0003,10,13,PUBLIC_IMPACT,0,0,0,1
പദ്ധതി വിജയകരമായാൽ കൂടുതൽ സ്കൂളുകളിലേക്ക് വ്യാപിപ്പിക്കാനാണ് തീരുമാനം.,0,ART_0003,11,13,POSSIBLE_FUTURE,0,1,0,0
ജനങ്ങളുടെ പ്രതികരണം പരിശോധിച്ച ശേഷം കൂടുതൽ മാറ്റങ്ങൾ വരുത്തുമെന്ന് അധികൃതർ അറിയിച്ചു.,0,ART_0003,12,13,GENERAL_DETAIL,0,0,0,0
പത്തനംതിട്ട: നഗരത്തിലെ ഗതാഗതക്കുരുക്ക് കുറയ്ക്കുന്നതിനായി പുതിയ ഇലക്ട്രിക് ബസ് സർവീസുകൾ ആരംഭിച്ചു.,1,ART_0004,0,15,EVENT,0,0,0,0
ജനങ്ങളുടെ പ്രതികരണം പരിശോധിച്ച ശേഷം കൂടുതൽ മാറ്റങ്ങൾ വരുത്തുമെന്ന് അധികൃതർ അറിയിച്ചു.,0,ART_0004,1,15,GENERAL_DETAIL,0,0,0,0
ഡ്രൈവർമാർക്കും കണ്ടക്ടർമാർക്കും പ്രത്യേക പരിശീലനം നൽകിയതായി ഉദ്യോഗസ്ഥർ അറിയിച്ചു.,0,ART_0004,2,15,IMPLEMENTATION_DETAIL,0,0,0,0
"പുതിയ ബസുകളിൽ ജിപിഎസ് സംവിധാനം, സിസിടിവി ക്യാമറ, ഡിജിറ്റൽ ടിക്കറ്റ് സൗകര്യം എന്നിവ ഒരുക്കിയിട്ടുണ്ട്.",0,ART_0004,3,15,GENERAL_DETAIL,1,0,0,0
ആദ്യ ദിവസത്തെ സർവീസുകളിൽ യാത്രക്കാരുടെ പങ്കാളിത്തം തൃപ്തികരമായിരുന്നുവെന്ന് അധികൃതർ വ്യക്തമാക്കി.,0,ART_0004,4,15,GENERAL_DETAIL,0,0,0,1
രാവിലെയും വൈകിട്ടും തിരക്കേറിയ സമയങ്ങളിൽ അധിക സർവീസുകൾ നടത്തുമെന്ന് ഗതാഗത വകുപ്പ് അറിയിച്ചു.,1,ART_0004,5,15,PUBLIC_IMPACT,0,0,0,0
ആദ്യഘട്ടത്തിൽ പ്രധാനപ്പെട്ട 2500 റൂട്ടുകളിലാണ് ബസുകൾ ഓടിത്തുടങ്ങിയത്.,1,ART_0004,6,15,SCALE,4,0,0,0
ബസ് സ്റ്റോപ്പുകളിൽ സമയക്രമം പ്രദർശിപ്പിക്കുന്ന ഡിജിറ്റൽ ബോർഡുകളും സ്ഥാപിക്കും.,0,ART_0004,7,15,GENERAL_DETAIL,0,0,0,0
പ്രാദേശിക സംഘടനകളുമായി ചർച്ച നടത്തിയ ശേഷം അന്തിമ പട്ടിക തയ്യാറാക്കും.,0,ART_0004,8,15,GENERAL_DETAIL,0,0,0,0
പദ്ധതി വിജയകരമായാൽ സമീപ നഗരങ്ങളിലേക്കും സമാന സർവീസുകൾ ആരംഭിക്കാനാണ് തീരുമാനം.,0,ART_0004,9,15,POSSIBLE_FUTURE,0,1,0,0
വിദ്യാർത്ഥികൾക്കും സ്ഥിരം യാത്രക്കാർക്കും ഇളവുകൾ നൽകുന്നതിനെക്കുറിച്ച് അധികൃതർ ആലോചിക്കുന്നു.,0,ART_0004,10,15,POSSIBLE_FUTURE,0,1,0,0
യാത്രക്കാരുടെ പ്രതികരണം വിലയിരുത്തിയ ശേഷം കൂടുതൽ റൂട്ടുകളിലേക്ക് സർവീസ് വ്യാപിപ്പിക്കും.,0,ART_0004,11,15,GENERAL_DETAIL,1,0,0,1
നിലവിലെ സംവിധാനവുമായി പുതിയ സംവിധാനം ബന്ധിപ്പിക്കുന്നതിനുള്ള നടപടികൾ പുരോഗമിക്കുകയാണ്.,0,ART_0004,12,15,GENERAL_DETAIL,0,0,0,0
പദ്ധതിയുടെ ഭാഗമായി പഴയ ഡീസൽ ബസുകൾ ഘട്ടംഘട്ടമായി പിൻവലിക്കും.,1,ART_0004,13,15,OFFICIAL_RESPONSE,0,0,0,0
ഇന്ധനച്ചെലവ് കുറയ്ക്കാനും വായു മലിനീകരണം നിയന്ത്രിക്കാനും പദ്ധതി സഹായകരമാകുമെന്ന് വിദ്യാഭ്യാസ വകുപ്പ് വ്യക്തമാക്കി.,1,ART_0004,14,15,PURPOSE_GOAL,0,0,0,0
കൊച്ചി: സ്കൂൾ പരിസരങ്ങളിലെ റോഡ് സുരക്ഷ മെച്ചപ്പെടുത്താൻ പുതിയ സുരക്ഷാ പദ്ധതി ആരംഭിച്ചു.,1,ART_0005,0,13,EVENT,0,0,0,0
രാവിലെക്കും വൈകിട്ടും പൊലീസ് നിരീക്ഷണം ശക്തമാക്കുമെന്ന് അധികൃതർ പറഞ്ഞു.,0,ART_0005,1,13,GENERAL_DETAIL,0,0,0,0
പ്രാദേശിക സംഘടനകളുമായി ചർച്ച നടത്തിയ ശേഷം അന്തിമ പട്ടിക തയ്യാറാക്കും.,0,ART_0005,2,13,GENERAL_DETAIL,0,0,0,0
പദ്ധതി വിജയകരമായാൽ കൂടുതൽ സ്കൂളുകളിലേക്ക് വ്യാപിപ്പിക്കാനാണ് തീരുമാനം.,0,ART_0005,3,13,POSSIBLE_FUTURE,0,1,0,0
സ്കൂൾ പ്രവേശന കവാടങ്ങളിൽ സീബ്രാ ക്രോസിങ്ങും മുന്നറിയിപ്പ് ബോർഡുകളും സ്ഥാപിക്കും.,0,ART_0005,4,13,PUBLIC_IMPACT,0,0,0,1
"ആദ്യഘട്ടത്തിൽ മഞ്ചേരി, തിരൂർ, പൊന്നാനി മേഖലകളിലെ 40 സ്കൂളുകളിലാണ് പദ്ധതി നടപ്പാക്കുക.",1,ART_0005,5,13,SCALE,3,0,0,0
സ്കൂൾ ബസുകൾക്ക് വേഗപരിധി നിർബന്ധമാക്കുകയും ഡ്രൈവർമാർക്ക് പ്രത്യേക പരിശീലനം നൽകുകയും ചെയ്യും.,1,ART_0005,6,13,PUBLIC_IMPACT,0,0,0,0
നിലവിലെ സംവിധാനവുമായി പുതിയ സംവിധാനം ബന്ധിപ്പിക്കുന്നതിനുള്ള നടപടികൾ പുരോഗമിക്കുകയാണ്.,0,ART_0005,7,13,GENERAL_DETAIL,0,0,0,0
രക്ഷിതാക്കൾ കുട്ടികളെ റോഡിന്റെ നടുവിൽ ഇറക്കിവിടരുതെന്ന് നിർദേശം നൽകി.,0,ART_0005,8,13,PUBLIC_IMPACT,0,0,0,1
നിലവിലുള്ള പാർക്കിംഗ് പ്രശ്നങ്ങൾ പരിഹരിക്കാൻ പ്രത്യേക യോഗം ചേരും.,0,ART_0005,9,13,GENERAL_DETAIL,0,0,0,0
പൊതുജനങ്ങളിൽ ബോധവൽക്കരണ പരിപാടികൾ നടത്തും.,0,ART_0005,10,13,GENERAL_DETAIL,0,0,0,1
പദ്ധതിക്കായി 8 കോടി രൂപ വകയിരുത്തിയതായി വിദ്യാഭ്യാസ വകുപ്പ് അറിയിച്ചു.,1,ART_0005,11,13,BUDGET,3,0,0,0
വിദ്യാർത്ഥികളുടെ സുരക്ഷ ഉറപ്പാക്കുകയും സ്കൂൾ സമയത്തെ ഗതാഗത അപകടങ്ങൾ കുറയ്ക്കുകയും ചെയ്യുകയാണ് പദ്ധതിയുടെ പ്രധാന ലക്ഷ്യം.,1,ART_0005,12,13,PURPOSE_GOAL,0,0,0,0
കൊച്ചി: നഗരത്തിലെ പ്രധാന റോഡുകളിൽ സ്ഥാപിക്കുന്ന പുതിയ എഐ ട്രാഫിക് ക്യാമറകൾ അടുത്ത തിങ്കളാഴ്ച മുതൽ പ്രവർത്തനം ആരംഭിക്കും.,1,ART_0006,0,17,EVENT,1,0,0,0
പ്രാദേശിക സംഘടനകളുമായി ചർച്ച നടത്തിയ ശേഷം അന്തിമ പട്ടിക തയ്യാറാക്കും.,0,ART_0006,1,17,GENERAL_DETAIL,0,0,0,0
പദ്ധതിയുടെ പ്രവർത്തനം വിലയിരുത്താൻ മാസംതോറും അവലോകന യോഗം ചേരുമെന്ന് വിദ്യാഭ്യാസ വകുപ്പ് അറിയിച്ചു.,0,ART_0006,2,17,GENERAL_DETAIL,0,0,0,0
ക്യാമറകളുടെ പരിപാലനത്തിനായി പ്രത്യേക സാങ്കേതിക സംഘത്തെ നിയോഗിക്കും.,0,ART_0006,3,17,IMPLEMENTATION_DETAIL,1,0,0,0
പദ്ധതിയുടെ വിശദമായ മാർഗനിർദേശങ്ങൾ പിന്നീട് പ്രസിദ്ധീകരിക്കും.,0,ART_0006,4,17,GENERAL_DETAIL,0,0,0,0
ഗതാഗതക്കുരുക്ക് കുറയ്ക്കുകയും അപകടങ്ങൾ നിയന്ത്രിക്കുകയും ചെയ്യുകയാണ് പദ്ധതിയുടെ പ്രധാന ലക്ഷ്യമെന്ന് മോട്ടോർ വാഹന വകുപ്പ് അറിയിച്ചു.,1,ART_0006,5,17,PURPOSE_GOAL,0,0,0,0
"ആദ്യഘട്ടത്തിൽ കട്ടപ്പന, അടിമാലി, മൂന്നാർ എന്നിവിടങ്ങളിലായി 12 ക്യാമറകളാണ് സ്ഥാപിച്ചിരിക്കുന്നത്.",1,ART_0006,6,17,SCALE,4,0,0,0
നിലവിലെ സംവിധാനവുമായി പുതിയ സംവിധാനം ബന്ധിപ്പിക്കുന്നതിനുള്ള നടപടികൾ പുരോഗമിക്കുകയാണ്.,0,ART_0006,7,17,GENERAL_DETAIL,0,0,0,0
ആദ്യ രണ്ട് ആഴ്ച ബോധവൽക്കരണ കാലയളവായിരിക്കുമെന്നും ഈ സമയത്ത് പിഴ ഈടാക്കില്ലെന്നും അധികൃതർ വ്യക്തമാക്കി.,0,ART_0006,8,17,GENERAL_DETAIL,0,0,0,1
"റെഡ് സിഗ്നൽ ലംഘനം, അമിതവേഗം, ഹെൽമറ്റ് ഇല്ലാതെ യാത്ര തുടങ്ങിയ നിയമലംഘനങ്ങൾ ക്യാമറകൾ കണ്ടെത്തും.",0,ART_0006,9,17,GENERAL_DETAIL,1,0,0,0
പൊലീസ് ഉദ്യോഗസ്ഥർ സ്ഥലത്തെത്തി പ്രാഥമിക പരിശോധന നടത്തി.,0,ART_0006,10,17,GENERAL_DETAIL,0,0,0,0
പദ്ധതി വിജയകരമായാൽ നഗരത്തിലെ മറ്റ് 75 ജംഗ്ഷനുകളിലേക്കും ക്യാമറകൾ വ്യാപിപ്പിക്കാനാണ് തീരുമാനം.,0,ART_0006,11,17,POSSIBLE_FUTURE,3,1,0,0
നിയമലംഘനം കണ്ടെത്തിയാൽ വാഹന ഉടമയ്ക്ക് മൊബൈൽ സന്ദേശം വഴിയും ഇ-മെയിൽ വഴിയും അറിയിപ്പ് ലഭിക്കും.,0,ART_0006,12,17,GENERAL_DETAIL,0,0,0,0
ചില വ്യാപാരികൾ നിരന്തര നിരീക്ഷണം ഉപഭോക്താക്കളുടെ വരവ് കുറയ്ക്കുമെന്ന ആശങ്ക പ്രകടിപ്പിച്ചു.,0,ART_0006,13,17,REACTION_BACKGROUND,0,0,0,0
സ്കൂൾ മേഖലകളിലും ആശുപത്രി പരിസരങ്ങളിലും പ്രത്യേക നിരീക്ഷണം ഏർപ്പെടുത്തുമെന്ന് പൊലീസ് അറിയിച്ചു.,0,ART_0006,14,17,GENERAL_DETAIL,0,0,0,0
പദ്ധതിക്കായി ആദ്യഘട്ടത്തിൽ 12 കോടി രൂപ അനുവദിച്ചതായി ധനവകുപ്പ് വൃത്തങ്ങൾ അറിയിച്ചു.,1,ART_0006,15,17,BUDGET,4,0,0,0
സ്വകാര്യതയെക്കുറിച്ചുള്ള ആശങ്കകൾ പരിഗണിച്ച് മുഖം തിരിച്ചറിയൽ സംവിധാനം ഉപയോഗിക്കില്ലെന്ന് വിദ്യാഭ്യാസ വകുപ്പ് വ്യക്തമാക്കി.,1,ART_0006,16,17,PRIVACY_SECURITY,0,0,1,0
വയനാട്: തുടർച്ചയായ മഴയെ തുടർന്ന് ജില്ലയിലെ പ്രധാന ജലാശയങ്ങളിലെ ജലനിരപ്പ് ഉയരുന്നു.,1,ART_0007,0,14,EVENT,1,0,0,0
മലയോര മേഖലകളിൽ മണ്ണിടിച്ചിൽ ഭീഷണി നിലനിൽക്കുന്നതിനാൽ അനാവശ്യ യാത്രകൾ ഒഴിവാക്കണമെന്ന് ദുരന്തനിവാരണ വിഭാഗം അറിയിച്ചു.,1,ART_0007,1,14,RISK_IMPACT,0,0,0,0
മഴക്കെടുതി കുറയ്ക്കാനും പൊതുജനങ്ങളുടെ സുരക്ഷ ഉറപ്പാക്കാനും മുൻകരുതൽ നടപടികൾ ശക്തമാക്കിയതായി ജില്ലാ ഭരണകൂടം വ്യക്തമാക്കി.,1,ART_0007,2,14,PURPOSE_GOAL,1,0,0,1
ജനങ്ങളുടെ പ്രതികരണം പരിശോധിച്ച ശേഷം കൂടുതൽ മാറ്റങ്ങൾ വരുത്തുമെന്ന് അധികൃതർ അറിയിച്ചു.,0,ART_0007,3,14,GENERAL_DETAIL,0,0,0,0
പുഴകളുടെയും തോടുകളുടെയും തീരത്ത് താമസിക്കുന്നവർ അധികൃതരുടെ മുന്നറിയിപ്പുകൾ ശ്രദ്ധിക്കണം.,0,ART_0007,4,14,GENERAL_DETAIL,0,0,0,0
താഴ്ന്ന പ്രദേശങ്ങളിൽ താമസിക്കുന്നവർ ജാഗ്രത പാലിക്കണമെന്ന് അധികൃതർ മുന്നറിയിപ്പ് നൽകി.,0,ART_0007,5,14,PUBLIC_IMPACT,0,0,0,1
ആവശ്യമായാൽ ദുരിതാശ്വാസ ക്യാമ്പുകൾ തുറക്കാനുള്ള ഒരുക്കങ്ങൾ പൂർത്തിയായതായി ജില്ലാ ഭരണകൂടം വ്യക്തമാക്കി.,0,ART_0007,6,14,GENERAL_DETAIL,1,0,0,0
ജനങ്ങൾ അഭ്യൂഹങ്ങൾ വിശ്വസിക്കാതെ ഔദ്യോഗിക അറിയിപ്പുകൾ മാത്രം പിന്തുടരണമെന്ന് അധികൃതർ നിർദേശിച്ചു.,1,ART_0007,7,14,PUBLIC_IMPACT,0,0,0,0
